Kanji,Onyomi,Kunyomi,Kanji Meaning,JLPT
言,"gen, gonゲン、 ゴン","i(u), kotoい（う）、 こと","say, word",N4
氏,shiシ,ujiうじ,"family name, surname, clan",N1
現,genゲン,"arawa(reru), utsu(tsu)あらわ(れる)、 うつ(つ)","present, existing, actual",N3
理,riリ,,"logic, arrangement, reason, justice, truth",N4
調,chouチョウ,"shira(beru), tono(u)しら(べる)、ととの(う)","tune, tone, meter, prepare, investigate",N3
体,taiタイ,karadaからだ,"body, substance, object, reality",N4
化,"ka, keカ、 ケ","ba(keru), fu(keru)ば(ける)、 ふ(ける)","change, take the form of, influence, enchant, delude, -ization",N3
田,denデン,taた,"rice field, rice paddy",N4
当,touトウ,a(taru)あ(たる),"hit, right, appropriate",N3
八,hachiハチ,"ya(tsu), youや(つ)、 よう","eight, 8",N5
六,rokuロク,"mu(tsu), muiむ(つ)、 むい","six, 6",N5
約,yakuヤク,tsuzu(maru)つづ(まる),"promise, approximately, shrink",N3
主,shuシュ,"nushi, omoぬし、 おも","lord, chief, master, main thing, principal",N4
題,daiダイ,,"topic, subject",N4
下,"ka, geカ、 ゲ","shita, shimo, moto, sa(geru), kuda(ru), o(rosu)した、 しも、 もと、 さ(げる)、 くだ(る)、 お(ろす)","below, down, descend, give, low, inferior",N5
首,shuシュ,kubiくび,neck,N3
意,iイ,,"idea, mind, heart, taste, thought",N4
法,houホウ,noriのり,"method, law, rule, principle, model, system",N3
不,"fu, buフ、 ブ",,"negative, non-, bad",N4
来,"rai, taiライ、 タイ","kuru, kitaru, ki, koく.る、 きた.る、 き、 こ","come, due, next, cause, become",N5
作,"saku, saサク、 サ",tsuku(ru)つく(る),"make, production, prepare, build",N4
性,"sei, shouセイ、 ショウ",,"sex, gender, nature",N3
的,tekiテキ,,"mark, target, object, adjective ending",N3
要,youヨウ,"i(ru), kanameい(る)、 かなめ","need, main point, essence, pivot",N3
用,youヨウ,mochi(iru)もち(いる),"utilize, business, service, use, employ",N4
制,seiセイ,,"system, law, rule",N3
治,"ji, chiジ、チ","nasa(meru), nao(ru)おさ(める)、なお(る)","reign, cure, heal",N3
度,"do, takuド、 タク","tabi, ta(i)たび、 た(い)","degrees, occurrence, time, counter for occurrences",N4
務,muム,tsuto(meru)つと(める),"task, duties",N3
強,"kyou, gouキョウ、 ゴウ",tsuyo(i)つよ(い),strong,N4
気,"ki, keキ、 ケ",ikiいき,"spirit, mind, air, atmosphere, mood",N5
小,shouショウ,"chii(sai), ko-, o-, sa-ちい(さい)、 こ-、 お-、 さ-","little, small",N5
七,shichiシチ,"nana(tsu), nanoなな(つ)、 なの","seven, 7",N5
成,"sei, jouセイ、 ジョウ",na(ru)な(る),"turn into, become, get, grow, elapse",N3
期,"ki, goキ、 ゴ",,"period, time, date, term",N3
公,kouコウ,,"public, prince, official, governmental",N4
持,jiジ,mo(tsu)も(つ),"hold, have",N4
野,yaヤ,noの,"plains, field, rustic, civilian life",N4
協,kyouキョウ,,"co-, cooperation",N2
取,shuシュ,to(ru)と(る),"take, fetch",N3
都,"to, tsuト、ツ",miyakoみやこ,"metropolis, capital",N3
和,"wa, oワ、オ","yawa(ragu), nago(mu)やわ(らぐ)、なご(む)","harmony, Japanese style, peace",N3
統,touトウ,su(beru)す(べる),"ruling, governing",N1
以,iイ,mo(tte)もっ(て),"by means of, because, in view of, compared with",N4
機,kiキ,hataはた,"machine, airplane, opportunity",N3
平,"hei, byouヘイ、ビョウ","tai(ra), hiraたい(ら)、ひら","even, flat, peace",N3
総,souソウ,"sube(te), fusaすべ(て)、 ふさ","general, whole, all",N2
加,kaカ,kuwa(eru)くわ(える),"add, addition, increase, join",N3
山,"san, senサン、 セン",yamaやま,mountain,N5
思,shiシ,omo(u)おも(う),think,N4
家,kaカ,"ie, ya, uchiいえ、 や、 うち","house, home, family, professional, expert",N4
話,waワ,"hana(su), hanashiはな(す)、 はなし","tale, talk",N5
世,"sei, seセイ、 セ",yoよ,"generation, world, society, public",N4
受,juジュ,u(keru)う(ける),"accept, undergo, answer (phone), take",N3
区,kuク,,"ward, district",N2
領,ryouリョウ,eriえり,"jurisdiction, dominion",N2
多,taタ,oo(i)おお(い),"many, frequent, much",N4
県,kenケン,ka(keru)か(ける),prefecture,N2
続,zokuゾク,tsuzukuつづ(く),"continue, series, sequel",N3
進,shinシン,susu(mu)すす(む),"advance, proceed",N3
正,"sei, shouセイ、 ショウ","tada(shii), masa(ni)ただ(しい)、 まさ(に)","correct, justice, righteous",N4
安,anアン,yasu(i)やす(い),"safe, peaceful, cheap",N4
設,setsuセツ,mou(keru)もう(ける),"establishment, provision",N2
保,"ho, houホ、ホウ",tamo(tsu)たも(つ),"protect, guarantee, keep",N2
改,kaiカイ,arata(meru)あらた(める),"reformation, change, modify",N2
数,suuスウ,"kazu, kazo(eru)かず、 かぞ(える)","number, strength, fate, law, figures",N3
記,kiキ,shiru(su)しる(す),"scribe, account, narrative",N3
院,inイン,,"institution, temple, mansion, school",N4
女,joジョ,"onnna, meおんな、 め","woman, female",N5
初,shoショ,"haji(me), hatsuはじ(め)、はつ","first time, beginning",N3
北,hokuホク,kitaきた,north,N5
午,goゴ,umaうま,"noon, sign of the horse",N5
指,shiシ,"yubi, sa(su)ゆび、さ(す)","finger, point to, indicate",N3
権,kenケン,,"authority, power, rights",N3
心,shinシン,kokoroこころ,"heart, mind, spirit",N4
界,kaiカイ,,"world, boundary",N4
支,shiシ,sasa(eru)ささ(える),"branch, support, sustain",N3
第,daiダイ,,"No., number",N2
産,sanサン,"u(mu), mu(su)う(む)、 む(す)","products, bear, give birth",N3
結,ketsuケツ,"musu(bu), yu(u)むす(ぶ)、ゆ(う)","tie, bind, contract",N2
百,"hyaku, byakuヒャク、 ビャク",momoもも,hundred,N5
派,haハ,,"faction, group, party",N2
点,tenテン,tsu(keru)つ(ける),"spot, point, mark",N3
教,kyouキョウ,"oshi(eru), oso(waru)おし(える)、 おそ(わる)","teach, faith, doctrine",N4
報,houホウ,mukku(iru)むく(いる),"report, news, reward",N3
済,"sai, seiサイ、セイ",su(mu)す(む),"settle, relieve, finish",N3
書,shoショ,kakuか(く),write,N5
府,fuフ,,"borough, urban prefecture, govt office",N2
活,katsuカツ,,living,N3
原,genゲン,haraはら,"original, primitive, field",N3
先,senセン,"saki, ma(zu)さき、 ま(ず)","before, ahead, previous, future, precedence",N5
共,kyouキョウ,tomoとも,"together, both, neither",N3
得,tokuトク,e(ru)え(る),"gain, get, find, earn, acquire, can, may, able to, profit",N3
解,"kai, geカイ、ゲ","to(ku), hodo(ku)と(く)、ほど(く)","unravel, explanation",N3
名,"mei, myouメイ、 ミョウ",naな,"name, noted, distinguished, reputation",N5
交,kouコウ,"maji(waru), ma(zeru), ka(wasu)まじ(わる)、 ま(ぜる)、 か(わす)","mingle, mixing, association, coming & going",N3
資,shiシ,,"assets, resources, capital, funds, data, be conducive to",N3
,,,,
予,"yo, shaヨ、 シャ",arakaji(me)あらかじ(め),"beforehand, previous, myself, I",N3
川,senセン,kawaかわ,"river, stream",N5
向,kouコウ,"mu(ku), muka(i)む(く)、むか(い)","facing, beyond",N3
際,saiサイ,kiwaきわ,"occasion, time",N3
査,saサ,,investigate,N2
勝,shouショウ,"ka(tsu), masa(ru)か(つ)、 まさ(る)","victory, win",N3
面,menメン,"omo, omote, tsuraおも、おもて、つら","mask, face, features, surface",N3
委,iイ,yuda(neru)ゆだ(ねる),"committee, entrust to",N2
告,kokuコク,tsu(geru)つ(げる),"revelation, inform",N3
軍,gunグン,ikusaいくさ,"army, force, troops",N2
文,"bun, monブン、 モン",fumiふみ,"sentence, literature, style, art",N4
反,hanハン,so(ru)そ(る),anti-,N3
元,"gen, ganゲン、 ガン",motoもと,"beginning, former time, origin",N4
重,"juu, chouジュウ、 チョウ","omo(i), kasa(neru)おも(い)、 かさ(ねる)","heavy, important, esteem, respect",N4
近,kinキン,chika(i)ちか(い),"near, early, akin, tantamount",N4
千,senセン,chiち,thousand,N5
考,kouコウ,kanga(eru)かんが(える),"consider, think over",N4
判,hanハン,,"judgement, signature",N3
認,ninニン,"mito(meru), shitata(meru)みと(める)、したた(める)","acknowledge, witness, recognize",N3
画,"ga, kakuガ、 カク",kaku(suru)かく(する),"brush-stroke, picture",N4
海,kaiカイ,umiうみ,"sea, ocean",N4
参,sanサン,mai(ru)まい(る),"going, coming, participate",N3
売,baiバイ,u(ru)う(る),sell,N4
利,riリ,ki(ku)き(く),"profit, advantage, benefit",N3
組,soソ,"ku(mu), kumiく(む)、くみ","association, assemble, unite",N3
知,chiチ,shi(ru)し(る),"know, wisdom",N4
案,anアン,tsukueつくえ,"plan, suggestion, draft",N2
