Kanji,Onyomi,Kunyomi,Kanji Meaning,JLPT
念,nenネン,,"wish, sense, idea, thought, feeling, desire",N3
待,taiタイ,ma(tsu)ま(つ),"wait, depend on",N4
試,shiシ,"kokoro(miru), tame(su)こころ(みる)、 ため(す)","test, try, attempt, experiment",N4
族,zokuゾク,,"tribe, family",N4
象,"shou, zouショウ、 ゾウ",katado(ru)かたど(る),elephant; pattern after; image; shape,N2
銀,ginギン,,silver,N4
域,ikiイキ,,range; region; limits; stage; level,N2
,,,,
助,joジョ,tasu(keru)たす(ける),"help, rescue, assist",N3
労,rouロウ,"rou(suru), itawa(ru), negira(u)ろう(する)、いたわ(る)、ねぎら(う)","labor, thank for",N3
例,reiレイ,tato(eba)たと(えば),example,N3
衛,eiエイ,,"defense, protection",N1
然,"zen, nenゼン、ネン","shika, saしか、さ","sort of thing, if so",N3
早,"sou, saソウ、 サッ",haya(i)はや(い),"early, fast",N4
張,chouチョウ,ha(ru)は(る),"lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)",N1
映,eiエイ,"utsu(ru), ha(eru)うつ(る)、 は(える)","reflect, reflection, projection",N4
限,genゲン,kagi(ru)かぎ(る),"limit, restrict",N3
親,shinシン,"oya, shita(shii)おや、 した(しい)","parent, intimacy, relative, familiarity",N4
額,gakuガク,hitaiひたい,forehead; tablet; framed picture; sum; amount; volume,N2
監,kanカン,,"oversee, official, govt office, rule, administer",N1
環,kanカン,waわ,"ring, circle, link, wheel",N1
験,kenケン,,"verification, effect, testing",N4
追,tsuiツイ,o(u)お(う),"chase, drive away",N3
審,shinシン,,"hearing, judge, trial",N1
商,shouショウ,akina(u)あきな(う),deal; selling; merchant,N3
葉,youヨウ,haは,"leaf, plane, needle, blade, counter for flat things",N3
義,giギ,,"righteousness, justice, morality, honor, loyalty, meaning",N1
伝,denデン,tsuta(waru)つた(わる),"transmit, go along, walk along, follow, report, communicate, legend, tradition",N3
働,douドウ,hatara(ku)はたら(く),work,N3
形,"kei, gyouケイ、ギョウ","kata, katachi, nariかた、かたち、なり","shape, form, style",N3
景,"kei, keケイ、ケ",,"scenery, view",N3
,,,,
落,rakuラク,o(chiru)お(ちる),"fall, drop",N3
欧,ouオウ,"uta(u), ha(ku)うた(う)、 は(く)",Europe,N2
担,tanタン,"katsu(gu), nina(u)かつ(ぐ)、 にな(う)",shouldering; carry; raise; bear,N2
好,kouコウ,"kono(mu), su(ku)この(む)、 す(く)","fond, pleasing, like something",N3
退,taiタイ,"shirizo(ku), hi(ku), no(keru), do(ku)しりぞ(く)、 ひ(く)、 の(ける)、 ど(く)","retreat, withdraw, retire, resign, repel, expel, reject",N3
準,junジュン,"jun(jiru), nazora(eru)じゅん(じる)、 なぞら(える)",semi-; correspond to; imitate,N2
賞,shouショウ,ho(meru)ほ(める),prize; reward; praise,N2
訴,soソ,utta(eru)うった(える),"accusation, sue, complain of pain, appeal to",N1
辺,henヘン,"ata(ri), hoto(ri)あた(り)、 ほと(り)",environs; boundary; border; vicinity,N2
造,zouゾウ,tsuku(ru)つく(る),create; make; structure; physique,N2
英,eiエイ,,"England, English, hero, outstanding",N4
被,hiヒ,"koumu(ru), kabu(ru)こうむ(る)、 かぶ(る)",incur; cover; shelter; wear; put on,N2
頭,"tou, zu, toトウ、ズ、ト","atama, kashiraあたま、かしら",head,N3
技,giギ,wazaわざ,skill; art; craft; ability; vocation; arts,N2
低,teiテイ,hiku(i)ひく(い),lower; short; humble,N2
毎,maiマイ,goto(ni)ごと(に),every,N5
医,iイ,,"doctor, medicine",N4
復,fukuフク,mataまた,"restore, return to, revert",N2
仕,shiシ,,"attend, doing, official, serve",N4
去,"kyo, koキョ、 コ",sa(ru)さ(る),"gone, past, quit, leave, elapse, eliminate",N4
味,miミ,ajiあじ,"flavor, taste",N4
負,fuフ,"ma(keru), o(u)ま(ける)、 お(う)","defeat, negative, minus, assume a responsibility",N3
渡,toト,wata(ru)わた(る),"transit, ferry, cross",N3
失,shitsuシツ,"ushina(u), u(seru)うしな(う)、 う(せる)","lose, error, fault, disadvantage, loss",N3
移,iイ,utsu(ru)うつ(る),"shift, move, change",N2
差,saサ,sa(su)さ(す),"distinction, difference, variation",N3
個,koコ,,individual; counter for articles,N2
門,monモン,"kado, toかど、 と",gate,N2
写,shaシャ,utsuruうつ(る),"copy, be photographed, describe",N4
課,kaカ,,"chapter, lesson, section, department",N2
,,,,
,,,,
末,matsuマツ,sueすえ,"end, close, tip",N3
守,"shu, suシュ、ス","mamo(ru), moriまも(る)、もり","guard, protect, obey",N3
若,jakuジャク,"waka(i), mo(shi)わか(い)、も(し)",young,N3
脳,nouノウ,nouzuruのうずる,brain; memory,N2
極,"kyoku, gokuキョク、 ゴク",kiwa(meru)きわ(める),poles; settlement; conclusion; end,N2
種,shuシュ,"tane, -gusaたね、-ぐさ","species, kind, class, seed",N3
美,"bi, miビ、 ミ",utsukushiiうつく(しい),"beauty, beautiful",N3
命,"mei, myouメイ、ミョウ",inochiいのち,"fate, command",N3
含,ganガン,fuku(mu)ふく(む),contain; include,N2
福,fukuフク,,"blessing, fortune, luck, wealth",N3
蔵,zouゾウ,kuraくら,storehouse; hide; own; have; possess,N2
量,ryouリョウ,haka(ru)はか(る),quantity; measure; weight; amount,N2
望,bouボウ,"nozo(mu), mochiのぞ(む)、 もち","ambition, full moon, hope, desire, aspire to, expect",N3
非,hiヒ,ara(zu)あら(ず),"un-, mistake, negative",N3
観,kanカン,mi(ru)み(る),"outlook, appearance, condition",N3
察,satsuサツ,,"guess, presume, judge",N3
段,danダン,,"grade, steps, stairs",N3
横,ouオウ,yokoよこ,"sideways, side",N3
型,keiケイ,kataかた,type; model,N2
白,"haku, byakuハク、 ビャク",shiro(i)しろ(い),white,N5
深,shinシン,fuka(i)ふか(い),"deep, heighten",N3
字,jiジ,,"character, letter, word",N4
答,touトウ,kota(eru)こた(える),"solution, answer",N4
夜,yaヤ,"yo, yoruよ、 よる","night, evening",N4
製,seiセイ,,"made in..., manufacture",N1
況,kyouキョウ,mashi(te)まし(て),condition; situation,N2
音,onオン,"oto, neおと、 ね","sound, noise",N4
申,shinシン,"mou(su), saruもう(す)、さる",have the honor to,N3
様,youヨウ,"sama, sanさま、さん","manner, situation, polite suffix",N3
財,"zai, sai, zokuザイ、 サイ、 ゾク",,"property, money, wealth, assets",N3
,,,,
港,kouコウ,minatoみなと,"harbor, port",N3
識,shikiシキ,shi(ru)し(る),know,N3
注,chuuチュウ,"soso(gu), sa(su), tsu(gu)そそ(ぐ)、 さ(す)、 つ(ぐ)","pour, irrigate, shed (tears), flow into, concentrate on",N4
呼,koコ,yo(bu)よ(ぶ),"call, invite",N3
達,"tatsu, daタツ、 ダ",-tachi-たち,"accomplished, reach, arrive, attain",N3
良,ryouリョウ,"yo(i), i(i)よ(い)、い(い)",good,N3
阪,hanハン,sakaさか,"heights, slope",N3
帰,kiキ,"kae(ru), kae(su)かえ(る)、 かえ(す)","homecoming, arrive at, lead to, result in",N4
針,shinシン,hariはり,needle; pin; staple; stinger,N2
専,senセン,moppa(ra)もっぱ(ら),specialty; exclusive; mainly; solely,N2
谷,kokuコク,"tani, kiwa(maru)たに、 きわ(まる)",valley,N2
古,koコ,furu(i)ふる(い),old,N4
候,kouコウ,sourouそうろう,"climate, season, weather",N3
史,shiシ,,history; chronicle,N2
天,tenテン,amatsuあまつ,"heavens, sky, imperial",N5
階,kaiカイ,kizahashiきざはし,stair; counter for building story,N2
程,teiテイ,hodoほど,"extent, degree",N3
,,,,
満,manマン,mi(chiru)み(ちる),"full, fullness, enough, satisfy",N3
敗,haiハイ,yabu(reru)やぶ(れる),"failure, defeat",N3
管,kanカン,kudaくだ,pipe; tube; wind instrument; control; jurisdiction,N2
値,chiチ,"ne, ataiね、 あたい","price, cost, value",N3
歌,kaカ,"uta, uta(u)うた、 うた(う)","song, sing",N4
買,baiバイ,ka(u)か(う),buy,N4
突,"totsu, kaトツ、カ",tsu(ku)つ(く),"stab, protruding, thrust",N3
兵,"hei, hyouヘイ、 ヒョウ",tsuwamonoつわもの,soldier; private; troops; army,N2
接,setsuセツ,tsu(gu)つ(ぐ),touch; contact; adjoin; piece together,N2
光,kouコウ,"hika(ru), hikariひか(る)、ひかり","ray, light",N3
路,"ro, ruロ、ル",michiみち,"path, route, road",N3
悪,akuアク,waru(i)わる(い),"bad, evil, wrong",N4
科,kaカ,,"department, course, section",N3
,,,,
細,saiサイ,"hoso(i), koma(kai)ほそ(い)、 こま(かい)",slender; narrow; detailed; precise,N2
効,kouコウ,ki(ku)き(く),merit; efficacy; efficiency; benefit,N2
図,"zu, toズ、 ト",haka(ru)はか(る),"map, drawing, plan, extraordinary",N4
週,shuuシュウ,,week,N4
積,sekiセキ,tsu(mu)つ(む),"volume, contents, pile up, stack",N3
丸,ganガン,"maru, maru(i)まる、まる(い)",round; full (month); perfection,N2
他,taタ,hokaほか,"other, another",N3
湾,wanワン,irieいりえ,gulf; bay; inlet,N2
録,rokuロク,to(ru)と(る),record,N2
処,shoショ,,"dispose, manage, deal with",N3
省,"sei, shouセイ、 ショウ","kaeri(miru), habu(ku)かえり(みる)、 はぶ(く)",focus; government ministry; conserve,N2
旧,kyuuキュウ,"furu(i), motoふる(い)、 もと",old times; old things; former; ex-,N2
室,shitsuシツ,muroむろ,"room, apartment, chamber, greenhouse, cellar",N4
太,"tai, taタイ、タ",futo(i)ふと(い),"plump, thick, big around",N3
橋,kyouキョウ,hashiはし,bridge,N2
歩,"ho, buホ、 ブ","aru(ku), ayu(mu)ある(く)、 あゆ(む)","walk, counter for steps",N4
岸,ganガン,kishiきし,beach,N2
客,"kyaku, kakuキャク、カク",,"guest, visitor, customer",N3
風,"fuu, fuフウ、 フ","kaze, kaza-かぜ、 かざ-","wind, air, style, manner",N4
紙,shiシ,kamiかみ,paper,N4
激,gekiゲキ,hage(shii)はげ(しい),"violent, get excited, enraged, chafe, incite",N1
否,hiヒ,"ina, iyaいな、いや","negate, no, decline",N3
周,shuuシュウ,mawa(ri)まわ(り),circumference; circuit; lap,N2
師,shiシ,,"expert, teacher, master",N3
材,zaiザイ,,"lumber, log, timber, wood",N2
登,"tou, toトウ、ト","nobo(ru), a(garu)のぼ(る)、あ(がる)","ascend, climb up",N3
母,boボ,"haha, kaaはは、 かあ",mother,N5
易,"eki, iエキ、 イ","yasa(shii), yasu(i)やさ(しい)、 やす(い)","easy, ready to, simple",N3
黒,kokuコク,kuroくろ,black,N4
火,kaカ,"hi, bi, hoひ、 -び、 ほ-",fire,N5
,,,,
戸,koコ,toと,door; counter for houses,N2
速,sokuソク,haya(i)はや(い),"quick, fast",N3
存,"son, zonソン、ゾン",,"exist, be aware of",N3
花,"ka, keカ、 ケ",hanaはな,flower,N4
春,shunシュン,haruはる,spring,N4
飛,hiヒ,to(bu)と(ぶ),fly,N3
殺,"satsu, saiサツ、サイ",koro(su)ころ(す),"kill, murder",N3
央,ouオウ,,center; middle,N2
券,kenケン,,ticket,N2
,,,,
赤,"seki, shakuセキ、 シャク",aka(i)あか(い),red,N4
号,gouゴウ,,"number, item",N3
単,tanタン,hitoeひとえ,"simple, single",N3
座,zaザ,suwa(ru)すわ(る),"squat, seat, sit",N3
青,"sei, shouセイ、 ショウ",ao(i)あお(い),blue,N4
破,haハ,yabu(ru)やぶ(る),"rip, tear, break",N3
編,henヘン,a(mu)あ(む),compilation; knit; braid; twist; editing,N2
捜,souソウ,saga(su)さが(す),search; look for; locate,N2
竹,chikuチク,takeたけ,bamboo,N2
除,"jo, jiジョ、ジ",nozo(ku)のぞ(く),"exclude, remove",N3
完,kanカン,,"perfect, completion",N3
降,"kou, goコウ、 ゴ","o(riru), fu(ru)お(りる)、 ふ(る)","descend, precipitate, fall, surrender",N3
超,chouチョウ,ko(eru)こ(える),transcend; super-; ultra-,N2
責,sekiセキ,se(meru)せ(める),"blame, condemn",N3
並,heiヘイ,"na(mi), nami, nara(beru)な(み)、なみ、なら(べる)","row, and, besides",N2
療,ryouリョウ,,heal; cure,N2
右,"u, yuuウ、 ユウ",migiみぎ,right,N5
捕,hoホ,"to(raeru), tsuka(maeru)と(らえる)、つか(まえる)","catch, capture",N3
危,kiキ,"abu(nai), aya(ui)あぶ(ない)、あや(うい)","dangerous, fear, uneasy",N3
採,saiサイ,to(ru)と(る),pick; take; fetch; take up,N2
森,shinシン,moriもり,"forest, woods",N2
,,,,
競,"kyou, keiキョウ、 ケイ","kiso(u), se(ru)きそ(う)、 せ(る)",compete with; bid; contest; race,N2
館,kanカン,yakataやかた,"building, mansion, large building, palace",N4
給,kyuuキュウ,"tama(u), tamo(u)たま(う)、たも(う)","salary, wage, gift",N3
屋,okuオク,yaや,"roof, house, shop, dealer, seller",N4
介,kaiカイ,,jammed in; shellfish; mediate,N2
読,"doku, toku, touドク、 トク、 トウ",yo(mu)よ(む),to read,N5
根,konコン,neね,root; radical,N2
色,"shoku, shikiショク、 シキ",iroいろ,color,N4
友,yuuユウ,tomoとも,friend,N5
苦,kuク,"kuru(shii), niga(i)くる(しい)、にが(い)","suffering, bitter",N3
迎,geiゲイ,muka(eru)むか(える),"welcome, meet, greet",N3
走,souソウ,hashi(ru)はし(る),run,N4
販,hanハン,,"marketing, sell, trade",N2
園,enエン,sonoその,"park, garden, yard",N3
具,guグ,"sona(eru), tsubasa(ni)そな(える)、つぶさ(に)","tool, utensil",N3
左,"sa, shaサ、 シャ",hidariひだり,left,N5
歴,rekiレキ,,curriculum; continuation; passage of time,N2
辞,jiジ,ya(meru)や(める),"resign, word, term",N3
将,shouショウ,"masa(ni), hataまさ(に)、 はた",leader; commander; general; admiral,N2
秋,shuuシュウ,akiあき,"autumn, fall",N4
因,inイン,"yo(ru), china(mu)よ(る)、ちな(む)","cause, factor, depend on",N3
馬,baバ,umaうま,horse,N3
愛,aiアイ,"ito(shii), manaいと(しい)、まな","love, affection",N3
幅,fukuフク,habaはば,hanging scroll; width,N2
休,kyuuキュウ,yasu(mu)やす(む),"rest, day off, retire, sleep",N5
富,"fu, fuuフ、フウ","to(mu), tomiと(む)、 とみ","wealth, enrich, abundant",N3
父,fuフ,"chichi, touちち、 とう",father,N5
,,,,
彼,hiヒ,"kare, kanoかれ、 かの","he, him",N3
般,hanハン,,carrier; carry; all; general; sort; kind,N2
未,"mi, biミ、ビ","ima(da), ma(da)いま(だ)、ま(だ)","un-, not yet",N3
,,,,
貿,bouボウ,,trade; exchange,N2
講,kouコウ,,lecture; club; association,N2
舞,buブ,"ma(u), maiま(う)、まい","dance, circle",N3
林,rinリン,hayashiはやし,grove; forest,N2
装,"sou, shouソウ、 ショウ",yosoo(u)よそお(う),attire; dress; pretend; disguise,N2
諸,shoショ,moroもろ,various; many; several; together,N2
夏,"ka, geカ、 ゲ",natsuなつ,summer,N4
亡,"bou, mouボウ、モウ",na(kunaru)な(くなる),"deceased, dying",N3
劇,gekiゲキ,,drama; play,N2
河,kaカ,kawaかわ,river,N2
航,kouコウ,,navigate; sail; cruise; fly,N2
冷,reiレイ,"tsume(tai), hi(eru), sa(meru)つめ(たい)、ひ(える)、さ(める)","cool, cold, chill",N3
適,tekiテキ,kana(u)かな(う),"suitable, occasional, rare",N3
婦,fuフ,yomeよめ,"lady, woman, wife",N3
鉄,tetsuテツ,kuroganeくろがね,iron,N2
寄,kiキ,yo(ru)よ(る),"draw near, gather",N3
益,"eki, yakuエキ、ヤク",ma(su)ま(す),"benefit, gain, profit, advantage",N1
込,,ko(mu)こ(む),"crowded, mixture",N3
顔,ganガン,kaoかお,"face, expression",N3
類,ruiルイ,tagu(i)たぐ(い),"sort, kind, variety, class, genus",N3
児,jiジ,koこ,newborn babe; child,N2
余,yoヨ,ama(ru)あま(る),"too much, surplus",N3
禁,kinキン,,prohibition; ban; forbid,N2
印,inイン,shirushiしるし,stamp; seal; mark; symbol; trademark,N2
逆,gyakuギャク,saka(rau)さか(らう),inverted; reverse; opposite,N2
王,ouオウ,,"king, rule",N3
返,henヘン,kae(su)かえ(す),"return, answer",N3
換,kanカン,ka(eru)か(える),interchange; period; change; convert; replace; renew,N2
久,"kyuu, kuキュウ、 ク",hisa(shii)ひさ(しい),long time; old story,N2
短,tanタン,mijika(i)みじか(い),short; fault; defect; weak point,N2
,,,,
油,yuユ,aburaあぶら,oil; fat,N2
妻,saiサイ,tsumaつま,"wife, spouse",N3
暴,"bou, bakuボウ、 バク",aba(ku)あば(く),outburst; force; violence,N2
輪,rinリン,waわ,wheel; ring; circle; link; loop; counter for wheels and flowers,N2
占,senセン,"shi(meru), urana(u)し(める)、 うらな(う)",fortune-telling; divining; forecasting,N2
背,haiハイ,"se, seiせ、せい","stature, height, back",N3
植,shokuショク,u(eru)う(える),plant,N2
熱,netsuネツ,atsu(i)あつ(い),"heat, fever, passion",N3
宿,shukuシュク,yadoやど,"inn, lodging",N3
薬,yakuヤク,kusuriくすり,"medicine, chemical",N3
清,seiセイ,kiyo(i)きよ(い),pure; purify; cleanse,N2
習,shuuシュウ,nara(u)なら(う),learn,N4
険,kenケン,kewa(shii)けわ(しい),"precipitous, inaccessible place",N3
頼,raiライ,"tano(mu), tayo(ru)たの(む)、 たよ(る)","trust, request",N3
覚,kakuカク,"obo(eru), sa(masu)おぼ(える)、 さ(ます)","memorize, learn, remember, awake",N3
船,senセン,"fune, funaふね、ふな","ship, boat",N3
倍,baiバイ,,double; twice; times; fold,N2
均,kinキン,nara(su)なら(す),level; average,N2
億,okuオク,,hundred million; 10**8,N2
途,toト,michiみち,"route, way, road",N3
,,,,
圧,atsuアツ,o(su)お(す),pressure; push; overwhelm; oppress,N2
芸,geiゲイ,,technique; art; craft; performance; acting,N2
許,kyoキョ,yuru(su)ゆる(す),"permit, approve",N3
駅,ekiエキ,,station,N4
署,shoショ,,signature; govt office; police station,N2
抜,batsuバツ,nu(ku)ぬ(く),"slip out, extract, pull out, remove",N3
便,"ben, binベン、 ビン",tayo(ri)たよ(り),"convenience, facility",N3
伸,shinシン,no(biru)の(びる),expand; stretch; extend,N2
留,"ryuu, ruリュウ、 ル","to(maru), todo(meru)と(まる)、 とど(める)","detain, fasten, halt, stop",N3
罪,zaiザイ,tsumiつみ,"guilt, sin, crime",N3
,,,,
停,teiテイ,to(meru)と(める),halt; stopping,N2
爆,bakuバク,ha(zeru)は(ぜる),bomb; burst open,N2
陸,"riku, rokuリク、 ロク",okaおか,land; six,N2
玉,gyokuギョク,tamaたま,jewel; ball,N2
波,haハ,namiなみ,waves; billows,N2
帯,taiタイ,o(biru)お(びる),sash; belt; obi; zone; region,N2
延,enエン,no(biru)の(びる),prolong; stretching,N2
羽,uウ,"ha, wa, haneは、 わ、 はね","feathers; counter for birds, rabbits",N2
努,doド,tsuto(meru)つと(める),"toil, diligent, as much as possible",N3
固,koコ,kata(meru)かた(める),harden; set; clot; curdle,N2
精,"sei, shouセイ、ショウ",shira(geru)しら(げる),"refined, ghost, fairy, energy",N3
則,sokuソク,notto(ru)のっと(る),rule; follow; based on,N2
乱,ranラン,mida(reru)みだ(れる),riot; war; disorder; disturb,N2
普,fuフ,amane(ku)あまね(く),universal; generally,N2
散,sanサン,"chi(ru), bara(keru)ち(る)、ばら(ける)","scatter, disperse",N3
測,sokuソク,haka(ru)はか(る),fathom; plan; scheme; measure,N2
豊,"hou, buホウ、 ブ","yuta(ka), toyoゆた(か)、 とよ",bountiful; excellent; rich,N2
洋,youヨウ,,"ocean, sea, foreign, Western style",N4
静,"sei, jouセイ、ジョウ",shizu(ka)しず(か),quiet,N3
婚,konコン,,marriage,N3
厚,kouコウ,atsu(i)あつ(い),thick; heavy; rich,N2
喜,kiキ,yoroko(bu)よろこ(ぶ),"rejoice, take pleasure in",N3
齢,reiレイ,"yowai, toshiよわい、 とし",age,N2
囲,iイ,kako(mu)かこ(む),surround; enclosure; preserve; keep,N2
卒,sotsuソツ,so(ssuru)そっ(する),graduate; soldier; private; die,N2
略,ryakuリャク,hoboほぼ,abbreviation; omission; outline; shorten,N2
承,shouショウ,uketamawa(ru)うけたまわ(る),hear; listen to; be informed; receive,N2
浮,fuフ,u(kabu)う(かぶ),"float, rise to surface",N3
順,junジュン,,obey; order; turn; occasion,N2
旅,ryoリョ,tabiたび,"trip, travel",N4
,,,,
絶,zetsuゼツ,ta(eru)た(える),"discontinue, unparalleled",N3
幸,kouコウ,"saiwa(i), sara, shiawa(se)さいわ(い)、さち、 しあわ(せ)","happiness, blessing, fortune",N3
岩,ganガン,iwaいわ,boulder; rock; cliff,N2
練,renレン,ne(ru)ね(る),"practice, gloss, train, drill, polish, refine",N2
押,ouオウ,o(su)お(す),push,N3
軽,keiケイ,karu(i)かる(い),lightly; trifling; unimportant,N2
倒,touトウ,tao(reru)たお(れる),"overthrow, fall, collapse",N3
,,,,
了,ryouリョウ,,complete; finish,N2
庁,chouチョウ,yakushoやくしょ,government office,N2
博,"haku, bakuハク、バク",,"Dr., command, esteem, Ph.D.",N1
城,"jou, seiジョウ、 セイ",shiroしろ,castle,N2
患,kanカン,wazura(u)わずら(う),afflicted; disease; suffer from; be ill,N2
等,touトウ,"hito(shii), nadoひと(しい)、など","etc., and so forth",N3
層,souソウ,,stratum; social class; layer; story; floor,N2
版,hanハン,,printing block; edition; impression; label,N2
老,rouロウ,"o(iru), fu(keru)お(いる)、ふ(ける)",old,N3
令,reiレイ,,orders; command; decree,N2
角,kakuカク,"kado, tsunoかど、 つの",angle; corner; square,N2
絡,rakuラク,kara(mu)から(む),entwine; coil around; get caught in,N2
損,sonソン,soko(nau)そこ(なう),damage; loss; disadvantage; hurt; injure,N2
募,boボ,tsuno(ru)つの(る),recruit; campaign,N2
曲,kyokuキョク,ma(garu)ま(がる),"bend, music, melody",N3
裏,riリ,uraうら,back; reverse; inside; rear,N2
払,,hara(u)はら(う),pay,N3
庭,teiテイ,niwaにわ,"courtyard, garden, yard",N3
徒,toト,"itazura, adaいたずら、 あだ","on foot, junior, vanity, futility, uselessness",N3
仏,butsuブツ,hotokeほとけ,Buddha; the dead,N2
績,sekiセキ,,exploits; achievements,N2
築,chikuチク,kizu(ku)きず(く),fabricate; build; construct,N2
貨,kaカ,,freight; goods; property,N2
,,,,
混,konコン,ma(jiru)ま(じる),mix; blend; confuse,N2
昇,shouショウ,nobo(ru)のぼ(る),rise up,N2
池,chiチ,ikeいけ,pond; pool; reservoir,N2
勤,"kin, gonキン、ゴン",tsuto(meru)つと(める),"diligence, employed, serve",N3
血,ketsuケツ,chiち,blood,N2
遅,chiチ,"oku(reru), oso(i)おく(れる)、 おそ(い)","slow, late, back, later",N3
居,"kyo, koキョ、コ","i(ru), o(ru)い(る)、お(る)","reside, to be, exist",N3
温,onオン,"atata(kai), nukuあたた(かい)、ぬく",warm,N2
雑,"zatsu, zouザツ、ゾウ",maji(ru)まじ(る),miscellaneous,N3
招,shouショウ,mane(ku)まね(く),"invite, summon, engage",N3
季,kiキ,,seasons,N2
困,konコン,koma(ru)こま(る),"quandary, become distressed",N3
星,seiセイ,hoshiほし,star,N2
永,eiエイ,naga(i)なが(い),eternity; long; lengthy,N2
著,"cho, chakuチョ、 チャク","arawa(su), ichijiru(shii)あらわ(す)、 いちじる(しい)",renowned; publish; write,N2
誌,shiシ,,document; records,N2
庫,"ko, kuコ、 ク",kuraくら,warehouse; storehouse,N2
刊,kanカン,,publish; carve; engrave,N2
像,zouゾウ,,statue; picture; image; figure,N2
香,"kou, kyouコウ、 キョウ",kao(ri)かお(り),incense; smell; perfume,N2
欠,"ketsu, kenケツ、ケン",ka(keru)か(ける),"lack, gap",N3
更,kouコウ,"sara(ni), fu(keru)さら(に)、ふ(ける)","renew, renovate, again",N3
坂,hanハン,sakaさか,slope; incline; hill,N2
刻,kokuコク,kiza(mu)きざ(む),"engrave, cut fine, chop",N3
底,teiテイ,sokoそこ,bottom; sole; depth; bottom price,N2
賛,sanサン,,"approve, praise",N3
抱,houホウ,"da(ku), ida(ku), kaka(eru)だ(く)、いだ(く)、かか(える)","embrace, hug",N3
服,fukuフク,,"clothing, admit, obey",N4
犯,hanハン,oka(su)おか(す),"crime, sin, offense",N3
布,fuフ,"nuno, shi(ku)ぬの、 し(く)",linen; cloth; spread; distribute,N2
,,,,
,,,,
恐,kyouキョウ,"oso(reru), kowa(i)おそ(れる)、こわ(い)","fear, dread",N3
寺,jiジ,teraてら,Buddhist temple,N2
息,"musu, sokuムス、ソク",ikiいき,"breath, son, interest (on money)",N3
宇,uウ,,eaves; roof; house; heaven,N2
遠,"en, onエン",too(i)とお(い),"distant, far",N3
戻,reiレイ,modo(ru)もど(る),"re-, return, revert",N3
巨,kyoキョ,,gigantic; big; large; great,N2
震,shinシン,furu(u)ふる(う),quake; shake; tremble; quiver,N2
願,ganガン,nega(u)ねが(う),"petition, request, wish",N3
絵,"kai, eカイ、エ",,"picture, drawing",N3
希,kiキ,"mare, koinega(u)まれ、 こいねが(う)",hope; beg; request; pray,N2
越,etsuエツ,ko(su)こ(す),"surpass, cross over, move to, exceed",N3
欲,yokuヨク,ho(shii)ほ(しい),"longing, greed, passion",N3
痛,tsuuツウ,ita(i)いた(い),"pain, hurt, damage, bruise",N3
触,shokuショク,"fu(reru), sawa(ru)ふ(れる)、 さわ(る)",contact; touch; feel; hit; proclaim; announce,N2
依,"i, eイ、 エ",yo(ru)よ(る),reliant; depend on; consequently; therefore; due to,N2
籍,sekiセキ,,enroll; register; membership,N2
汚,oオ,"yogo(su), kitana(i), kega(su)よご(す)、 きたな(い)、 けが(す)",dirty; pollute; disgrace; defile,N2
枚,"mai, baiマイ、 バイ",,sheet of...; counter for flat thin objects,N2
笑,shouショウ,"wara(u), e(mu)わら(う)、え(む)",laugh,N3
互,goゴ,"taga(i), katami(ni)たが(い)、かたみ(に)","mutually, reciprocally, together",N3
複,fukuフク,,duplicate; double; compound; multiple,N2
郵,yuuユウ,,mail; stagecoach stop,N2
束,sokuソク,"taba, tsukaたば、つか","bundle, manage",N3
仲,chuuチュウ,nakaなか,go-between; relationship,N2
栄,eiエイ,saka(eru)さか(える),flourish; prosperity; honor,N2
札,satsuサツ,fudaふだ,ticket; paper money; banknote; note,N2
似,"ji, neジ、ね",ni(ru)に(る),"becoming, resemble, imitate",N3
夕,(none),yuuゆう,evening,N4
板,"han, banハン、 バン",itaいた,plank; board; plate; stage,N2
,,,,
列,"retsu, reレツ、レ",,"file, row, column",N3
探,tanタン,"sagu(ru), saga(su)さぐ(る)、さが(す)","search, look for",N3
逃,touトウ,"ni(geru), noga(su)に(げる)、のが(す)","escape, flee",N3
借,shakuシャク,ka(riru)か(りる),"borrow, rent",N4
骨,kotsuコツ,honeほね,skeleton; bone; remains; frame,N2
傾,keiケイ,katamu(ku)かたむ(く),lean; incline; tilt; trend; bias,N2
届,kaiカイ,todo(keru)とど(ける),deliver; reach; arrive; report,N2
曜,youヨウ,,weekday,N4
遊,yuuユウ,aso(bu)あそ(ぶ),play,N3
迷,meiメイ,mayo(u)まよ(う),"astray, be perplexed, in doubt, lost",N3
夢,muム,yumeゆめ,"dream, vision",N3
巻,kanカン,"ma(ku), makiま(く)、 まき",scroll; volume; book; part; roll up; wind up; coil; counter for texts (or book scrolls),N2
購,kouコウ,,"subscription, buy",N1
君,kunクン,kimiきみ,"you, male name suffix",N3
燃,nenネン,mo(eru)も(える),burn; blaze; glow,N2
雨,uウ,"ame, amaあめ、 あま",rain,N5
閉,heiヘイ,"to(jiru), shi(meru)と(じる)、し(める)","closed, shut",N3
,,,,
緒,shoショ,oお,"beginning, end, cord, strap",N3
跡,sekiセキ,atoあと,tracks; mark; print; impression,N2
包,houホウ,"tsutsu(mu), kuru(mu)つつ(む)、 くる(む)",wrap; pack up; cover; conceal,N2
駐,chuuチュウ,,stop-over; reside in; resident,N2
