Unnamed: 0,Kanji,Onyomi,Kunyomi,Kanji Meaning,JLPT
77,外,"gai, geガイ、 ゲ","soto, hoka, hazu-, to-そと、 ほか、 はず(す)、 と-",outside,N5
78,最,saiサイ,motto(mo)もっと(も),"utmost, most, extreme",N3
79,言,"gen, gonゲン、 ゴン","i(u), kotoい（う）、 こと","say, word",N4
80,氏,shiシ,ujiうじ,"family name, surname, clan",N1
81,現,genゲン,"arawa(reru), utsu(tsu)あらわ(れる)、 うつ(つ)","present, existing, actual",N3
82,理,riリ,,"logic, arrangement, reason, justice, truth",N4
83,調,chouチョウ,"shira(beru), tono(u)しら(べる)、ととの(う)","tune, tone, meter, prepare, investigate",N3
84,体,taiタイ,karadaからだ,"body, substance, object, reality",N4
85,化,"ka, keカ、 ケ","ba(keru), fu(keru)ば(ける)、 ふ(ける)","change, take the form of, influence, enchant, delude, -ization",N3
86,田,denデン,taた,"rice field, rice paddy",N4
87,当,touトウ,a(taru)あ(たる),"hit, right, appropriate",N3
88,八,hachiハチ,"ya(tsu), youや(つ)、 よう","eight, 8",N5
89,六,rokuロク,"mu(tsu), muiむ(つ)、 むい","six, 6",N5
90,約,yakuヤク,tsuzu(maru)つづ(まる),"promise, approximately, shrink",N3
91,主,shuシュ,"nushi, omoぬし、 おも","lord, chief, master, main thing, principal",N4
92,題,daiダイ,,"topic, subject",N4
93,下,"ka, geカ、 ゲ","shita, shimo, moto, sa(geru), kuda(ru), o(rosu)した、 しも、 もと、 さ(げる)、 くだ(る)、 お(ろす)","below, down, descend, give, low, inferior",N5
94,首,shuシュ,kubiくび,neck,N3
95,意,iイ,,"idea, mind, heart, taste, thought",N4
96,法,houホウ,noriのり,"method, law, rule, principle, model, system",N3
97,不,"fu, buフ、 ブ",,"negative, non-, bad",N4
98,来,"rai, taiライ、 タイ","kuru, kitaru, ki, koく.る、 きた.る、 き、 こ","come, due, next, cause, become",N5
99,作,"saku, saサク、 サ",tsuku(ru)つく(る),"make, production, prepare, build",N4
100,性,"sei, shouセイ、 ショウ",,"sex, gender, nature",N3
101,的,tekiテキ,,"mark, target, object, adjective ending",N3
102,要,youヨウ,"i(ru), kanameい(る)、 かなめ","need, main point, essence, pivot",N3
103,用,youヨウ,mochi(iru)もち(いる),"utilize, business, service, use, employ",N4
104,制,seiセイ,,"system, law, rule",N3
105,治,"ji, chiジ、チ","nasa(meru), nao(ru)おさ(める)、なお(る)","reign, cure, heal",N3
106,度,"do, takuド、 タク","tabi, ta(i)たび、 た(い)","degrees, occurrence, time, counter for occurrences",N4
107,務,muム,tsuto(meru)つと(める),"task, duties",N3
108,強,"kyou, gouキョウ、 ゴウ",tsuyo(i)つよ(い),strong,N4
109,気,"ki, keキ、 ケ",ikiいき,"spirit, mind, air, atmosphere, mood",N5
110,小,shouショウ,"chii(sai), ko-, o-, sa-ちい(さい)、 こ-、 お-、 さ-","little, small",N5
111,七,shichiシチ,"nana(tsu), nanoなな(つ)、 なの","seven, 7",N5
112,成,"sei, jouセイ、 ジョウ",na(ru)な(る),"turn into, become, get, grow, elapse",N3
113,期,"ki, goキ、 ゴ",,"period, time, date, term",N3
114,公,kouコウ,,"public, prince, official, governmental",N4
