Unnamed: 0,Kanji,Onyomi,Kunyomi,Kanji Meaning,JLPT
377,起,kiキ,"o(kiru), oko(su)お(きる)、 おこ(す)","wake up, get up; rouse",N4
378,万,"man, banマン、 バン",,"ten thousand, 10,000",N5
379,着,chakuチャク,"ki(ru), tsu(ku)き(る)、つ(く)","arrive, wear, counter for suits of clothing",N4
380,乗,"jou, shouジョウ、 ショウ",no(ru)の(る),ride,N3
381,店,tenテン,miseみせ,"store, shop",N4
382,述,jutsuジュツ,no(beru)の(べる),mention; state; speak,N2
383,残,zanザン,noko(ru)のこ(る),"remainder, balance",N3
384,想,"sou, soソウ、ソ",omo(u)おも(う),"concept, think, idea",N3
385,線,senセン,sujiすじ,line; track,N2
386,率,"sotsu, ritsuソツ、 リツ",hiki(iru)ひき(いる),"ratio, rate, proportion, %, factor, lead",N1
387,病,byouビョウ,ya(mu)や(む),"ill, sick",N4
388,農,nouノウ,,agriculture; farmers,N2
389,州,shuuシュウ,suす,state; province,N2
390,武,"bu, muブ、 ム",take(shi)たけ(し),warrior; military; chivalry; arms,N2
391,声,"sei, shouセイ、ショウ",koeこえ,voice,N3
392,質,"shitsu, shichiシツ、 シチ","tachi, tada(su)たち、 ただ(す)","substance, quality, matter, temperament",N4
393,,,,,
394,念,nenネン,,"wish, sense, idea, thought, feeling, desire",N3
395,待,taiタイ,ma(tsu)ま(つ),"wait, depend on",N4
396,試,shiシ,"kokoro(miru), tame(su)こころ(みる)、 ため(す)","test, try, attempt, experiment",N4
397,族,zokuゾク,,"tribe, family",N4
398,象,"shou, zouショウ、 ゾウ",katado(ru)かたど(る),elephant; pattern after; image; shape,N2
399,銀,ginギン,,silver,N4
400,域,ikiイキ,,range; region; limits; stage; level,N2
401,,,,,
402,助,joジョ,tasu(keru)たす(ける),"help, rescue, assist",N3
403,労,rouロウ,"rou(suru), itawa(ru), negira(u)ろう(する)、いたわ(る)、ねぎら(う)","labor, thank for",N3
404,例,reiレイ,tato(eba)たと(えば),example,N3
405,衛,eiエイ,,"defense, protection",N1
406,然,"zen, nenゼン、ネン","shika, saしか、さ","sort of thing, if so",N3
407,早,"sou, saソウ、 サッ",haya(i)はや(い),"early, fast",N4
408,張,chouチョウ,ha(ru)は(る),"lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)",N1
409,映,eiエイ,"utsu(ru), ha(eru)うつ(る)、 は(える)","reflect, reflection, projection",N4
410,限,genゲン,kagi(ru)かぎ(る),"limit, restrict",N3
411,親,shinシン,"oya, shita(shii)おや、 した(しい)","parent, intimacy, relative, familiarity",N4
412,額,gakuガク,hitaiひたい,forehead; tablet; framed picture; sum; amount; volume,N2
413,監,kanカン,,"oversee, official, govt office, rule, administer",N1
414,環,kanカン,waわ,"ring, circle, link, wheel",N1
415,験,kenケン,,"verification, effect, testing",N4
416,追,tsuiツイ,o(u)お(う),"chase, drive away",N3
417,審,shinシン,,"hearing, judge, trial",N1
418,商,shouショウ,akina(u)あきな(う),deal; selling; merchant,N3
419,葉,youヨウ,haは,"leaf, plane, needle, blade, counter for flat things",N3
420,義,giギ,,"righteousness, justice, morality, honor, loyalty, meaning",N1
421,伝,denデン,tsuta(waru)つた(わる),"transmit, go along, walk along, follow, report, communicate, legend, tradition",N3
422,働,douドウ,hatara(ku)はたら(く),work,N3
423,形,"kei, gyouケイ、ギョウ","kata, katachi, nariかた、かたち、なり","shape, form, style",N3
424,景,"kei, keケイ、ケ",,"scenery, view",N3
425,,,,,
426,落,rakuラク,o(chiru)お(ちる),"fall, drop",N3
427,欧,ouオウ,"uta(u), ha(ku)うた(う)、 は(く)",Europe,N2
428,担,tanタン,"katsu(gu), nina(u)かつ(ぐ)、 にな(う)",shouldering; carry; raise; bear,N2
429,好,kouコウ,"kono(mu), su(ku)この(む)、 す(く)","fond, pleasing, like something",N3
430,退,taiタイ,"shirizo(ku), hi(ku), no(keru), do(ku)しりぞ(く)、 ひ(く)、 の(ける)、 ど(く)","retreat, withdraw, retire, resign, repel, expel, reject",N3
431,準,junジュン,"jun(jiru), nazora(eru)じゅん(じる)、 なぞら(える)",semi-; correspond to; imitate,N2
432,賞,shouショウ,ho(meru)ほ(める),prize; reward; praise,N2
433,訴,soソ,utta(eru)うった(える),"accusation, sue, complain of pain, appeal to",N1
434,辺,henヘン,"ata(ri), hoto(ri)あた(り)、 ほと(り)",environs; boundary; border; vicinity,N2
435,造,zouゾウ,tsuku(ru)つく(る),create; make; structure; physique,N2
436,英,eiエイ,,"England, English, hero, outstanding",N4
437,被,hiヒ,"koumu(ru), kabu(ru)こうむ(る)、 かぶ(る)",incur; cover; shelter; wear; put on,N2
438,頭,"tou, zu, toトウ、ズ、ト","atama, kashiraあたま、かしら",head,N3
439,技,giギ,wazaわざ,skill; art; craft; ability; vocation; arts,N2
440,毎,maiマイ,goto(ni)ごと(に),every,N5
441,医,iイ,,"doctor, medicine",N4
442,復,fukuフク,mataまた,"restore, return to, revert",N2
443,仕,shiシ,,"attend, doing, official, serve",N4
444,去,"kyo, koキョ、 コ",sa(ru)さ(る),"gone, past, quit, leave, elapse, eliminate",N4
445,味,miミ,ajiあじ,"flavor, taste",N4
446,負,fuフ,"ma(keru), o(u)ま(ける)、 お(う)","defeat, negative, minus, assume a responsibility",N3
447,渡,toト,wata(ru)わた(る),"transit, ferry, cross",N3
448,失,shitsuシツ,"ushina(u), u(seru)うしな(う)、 う(せる)","lose, error, fault, disadvantage, loss",N3
449,移,iイ,utsu(ru)うつ(る),"shift, move, change",N2
450,差,saサ,sa(su)さ(す),"distinction, difference, variation",N3
451,個,koコ,,individual; counter for articles,N2
452,門,monモン,"kado, toかど、 と",gate,N2
453,写,shaシャ,utsuruうつ(る),"copy, be photographed, describe",N4
454,課,kaカ,,"chapter, lesson, section, department",N2
455,,,,,
456,,,,,
457,末,matsuマツ,sueすえ,"end, close, tip",N3
458,守,"shu, suシュ、ス","mamo(ru), moriまも(る)、もり","guard, protect, obey",N3
459,若,jakuジャク,"waka(i), mo(shi)わか(い)、も(し)",young,N3
460,脳,nouノウ,nouzuruのうずる,brain; memory,N2
461,極,"kyoku, gokuキョク、 ゴク",kiwa(meru)きわ(める),poles; settlement; conclusion; end,N2
462,種,shuシュ,"tane, -gusaたね、-ぐさ","species, kind, class, seed",N3
463,美,"bi, miビ、 ミ",utsukushiiうつく(しい),"beauty, beautiful",N3
464,命,"mei, myouメイ、ミョウ",inochiいのち,"fate, command",N3
465,含,ganガン,fuku(mu)ふく(む),contain; include,N2
466,福,fukuフク,,"blessing, fortune, luck, wealth",N3
467,蔵,zouゾウ,kuraくら,storehouse; hide; own; have; possess,N2
468,量,ryouリョウ,haka(ru)はか(る),quantity; measure; weight; amount,N2
469,望,bouボウ,"nozo(mu), mochiのぞ(む)、 もち","ambition, full moon, hope, desire, aspire to, expect",N3
470,非,hiヒ,ara(zu)あら(ず),"un-, mistake, negative",N3
472,察,satsuサツ,,"guess, presume, judge",N3
473,段,danダン,,"grade, steps, stairs",N3
474,横,ouオウ,yokoよこ,"sideways, side",N3
475,型,keiケイ,kataかた,type; model,N2
476,白,"haku, byakuハク、 ビャク",shiro(i)しろ(い),white,N5
477,深,shinシン,fuka(i)ふか(い),"deep, heighten",N3
478,字,jiジ,,"character, letter, word",N4
479,答,touトウ,kota(eru)こた(える),"solution, answer",N4
480,夜,yaヤ,"yo, yoruよ、 よる","night, evening",N4
481,製,seiセイ,,"made in..., manufacture",N1
482,況,kyouキョウ,mashi(te)まし(て),condition; situation,N2
483,音,onオン,"oto, neおと、 ね","sound, noise",N4
484,申,shinシン,"mou(su), saruもう(す)、さる",have the honor to,N3
485,様,youヨウ,"sama, sanさま、さん","manner, situation, polite suffix",N3
486,財,"zai, sai, zokuザイ、 サイ、 ゾク",,"property, money, wealth, assets",N3
487,,,,,
488,港,kouコウ,minatoみなと,"harbor, port",N3
489,識,shikiシキ,shi(ru)し(る),know,N3
490,注,chuuチュウ,"soso(gu), sa(su), tsu(gu)そそ(ぐ)、 さ(す)、 つ(ぐ)","pour, irrigate, shed (tears), flow into, concentrate on",N4
491,呼,koコ,yo(bu)よ(ぶ),"call, invite",N3
492,達,"tatsu, daタツ、 ダ",-tachi-たち,"accomplished, reach, arrive, attain",N3
493,良,ryouリョウ,"yo(i), i(i)よ(い)、い(い)",good,N3
494,阪,hanハン,sakaさか,"heights, slope",N3
495,帰,kiキ,"kae(ru), kae(su)かえ(る)、 かえ(す)","homecoming, arrive at, lead to, result in",N4
496,針,shinシン,hariはり,needle; pin; staple; stinger,N2
497,専,senセン,moppa(ra)もっぱ(ら),specialty; exclusive; mainly; solely,N2
498,谷,kokuコク,"tani, kiwa(maru)たに、 きわ(まる)",valley,N2
499,古,koコ,furu(i)ふる(い),old,N4
501,史,shiシ,,history; chronicle,N2
502,天,tenテン,amatsuあまつ,"heavens, sky, imperial",N5
503,階,kaiカイ,kizahashiきざはし,stair; counter for building story,N2
504,程,teiテイ,hodoほど,"extent, degree",N3
505,,,,,
506,満,manマン,mi(chiru)み(ちる),"full, fullness, enough, satisfy",N3
507,敗,haiハイ,yabu(reru)やぶ(れる),"failure, defeat",N3
508,管,kanカン,kudaくだ,pipe; tube; wind instrument; control; jurisdiction,N2
509,値,chiチ,"ne, ataiね、 あたい","price, cost, value",N3
510,歌,kaカ,"uta, uta(u)うた、 うた(う)","song, sing",N4
511,買,baiバイ,ka(u)か(う),buy,N4
512,突,"totsu, kaトツ、カ",tsu(ku)つ(く),"stab, protruding, thrust",N3
513,兵,"hei, hyouヘイ、 ヒョウ",tsuwamonoつわもの,soldier; private; troops; army,N2
514,接,setsuセツ,tsu(gu)つ(ぐ),touch; contact; adjoin; piece together,N2
515,光,kouコウ,"hika(ru), hikariひか(る)、ひかり","ray, light",N3
516,路,"ro, ruロ、ル",michiみち,"path, route, road",N3
517,悪,akuアク,waru(i)わる(い),"bad, evil, wrong",N4
518,科,kaカ,,"department, course, section",N3
519,,,,,
520,細,saiサイ,"hoso(i), koma(kai)ほそ(い)、 こま(かい)",slender; narrow; detailed; precise,N2
521,効,kouコウ,ki(ku)き(く),merit; efficacy; efficiency; benefit,N2
522,図,"zu, toズ、 ト",haka(ru)はか(る),"map, drawing, plan, extraordinary",N4
523,週,shuuシュウ,,week,N4
524,積,sekiセキ,tsu(mu)つ(む),"volume, contents, pile up, stack",N3
525,丸,ganガン,"maru, maru(i)まる、まる(い)",round; full (month); perfection,N2
526,他,taタ,hokaほか,"other, another",N3
527,湾,wanワン,irieいりえ,gulf; bay; inlet,N2
528,録,rokuロク,to(ru)と(る),record,N2
529,処,shoショ,,"dispose, manage, deal with",N3
530,省,"sei, shouセイ、 ショウ","kaeri(miru), habu(ku)かえり(みる)、 はぶ(く)",focus; government ministry; conserve,N2
531,旧,kyuuキュウ,"furu(i), motoふる(い)、 もと",old times; old things; former; ex-,N2
532,室,shitsuシツ,muroむろ,"room, apartment, chamber, greenhouse, cellar",N4
533,太,"tai, taタイ、タ",futo(i)ふと(い),"plump, thick, big around",N3
534,橋,kyouキョウ,hashiはし,bridge,N2
535,歩,"ho, buホ、 ブ","aru(ku), ayu(mu)ある(く)、 あゆ(む)","walk, counter for steps",N4
536,岸,ganガン,kishiきし,beach,N2
537,客,"kyaku, kakuキャク、カク",,"guest, visitor, customer",N3
538,風,"fuu, fuフウ、 フ","kaze, kaza-かぜ、 かざ-","wind, air, style, manner",N4
539,紙,shiシ,kamiかみ,paper,N4
540,激,gekiゲキ,hage(shii)はげ(しい),"violent, get excited, enraged, chafe, incite",N1
541,否,hiヒ,"ina, iyaいな、いや","negate, no, decline",N3
542,周,shuuシュウ,mawa(ri)まわ(り),circumference; circuit; lap,N2
543,師,shiシ,,"expert, teacher, master",N3
544,材,zaiザイ,,"lumber, log, timber, wood",N2
545,登,"tou, toトウ、ト","nobo(ru), a(garu)のぼ(る)、あ(がる)","ascend, climb up",N3
546,母,boボ,"haha, kaaはは、 かあ",mother,N5
547,易,"eki, iエキ、 イ","yasa(shii), yasu(i)やさ(しい)、 やす(い)","easy, ready to, simple",N3
548,黒,kokuコク,kuroくろ,black,N4
549,火,kaカ,"hi, bi, hoひ、 -び、 ほ-",fire,N5
550,,,,,
551,戸,koコ,toと,door; counter for houses,N2
552,速,sokuソク,haya(i)はや(い),"quick, fast",N3
553,存,"son, zonソン、ゾン",,"exist, be aware of",N3
554,花,"ka, keカ、 ケ",hanaはな,flower,N4
555,春,shunシュン,haruはる,spring,N4
556,飛,hiヒ,to(bu)と(ぶ),fly,N3
557,殺,"satsu, saiサツ、サイ",koro(su)ころ(す),"kill, murder",N3
558,央,ouオウ,,center; middle,N2
559,券,kenケン,,ticket,N2
560,,,,,
561,赤,"seki, shakuセキ、 シャク",aka(i)あか(い),red,N4
562,号,gouゴウ,,"number, item",N3
563,単,tanタン,hitoeひとえ,"simple, single",N3
564,座,zaザ,suwa(ru)すわ(る),"squat, seat, sit",N3
565,青,"sei, shouセイ、 ショウ",ao(i)あお(い),blue,N4
566,破,haハ,yabu(ru)やぶ(る),"rip, tear, break",N3
567,編,henヘン,a(mu)あ(む),compilation; knit; braid; twist; editing,N2
568,捜,souソウ,saga(su)さが(す),search; look for; locate,N2
569,竹,chikuチク,takeたけ,bamboo,N2
570,除,"jo, jiジョ、ジ",nozo(ku)のぞ(く),"exclude, remove",N3
571,完,kanカン,,"perfect, completion",N3
572,降,"kou, goコウ、 ゴ","o(riru), fu(ru)お(りる)、 ふ(る)","descend, precipitate, fall, surrender",N3
573,超,chouチョウ,ko(eru)こ(える),transcend; super-; ultra-,N2
574,責,sekiセキ,se(meru)せ(める),"blame, condemn",N3
575,並,heiヘイ,"na(mi), nami, nara(beru)な(み)、なみ、なら(べる)","row, and, besides",N2
576,療,ryouリョウ,,heal; cure,N2
577,右,"u, yuuウ、 ユウ",migiみぎ,right,N5
578,捕,hoホ,"to(raeru), tsuka(maeru)と(らえる)、つか(まえる)","catch, capture",N3
579,危,kiキ,"abu(nai), aya(ui)あぶ(ない)、あや(うい)","dangerous, fear, uneasy",N3
580,採,saiサイ,to(ru)と(る),pick; take; fetch; take up,N2
581,森,shinシン,moriもり,"forest, woods",N2
582,,,,,
583,競,"kyou, keiキョウ、 ケイ","kiso(u), se(ru)きそ(う)、 せ(る)",compete with; bid; contest; race,N2
584,館,kanカン,yakataやかた,"building, mansion, large building, palace",N4
585,給,kyuuキュウ,"tama(u), tamo(u)たま(う)、たも(う)","salary, wage, gift",N3
586,屋,okuオク,yaや,"roof, house, shop, dealer, seller",N4
587,介,kaiカイ,,jammed in; shellfish; mediate,N2
588,読,"doku, toku, touドク、 トク、 トウ",yo(mu)よ(む),to read,N5
589,根,konコン,neね,root; radical,N2
590,色,"shoku, shikiショク、 シキ",iroいろ,color,N4
591,友,yuuユウ,tomoとも,friend,N5
592,苦,kuク,"kuru(shii), niga(i)くる(しい)、にが(い)","suffering, bitter",N3
593,迎,geiゲイ,muka(eru)むか(える),"welcome, meet, greet",N3
594,走,souソウ,hashi(ru)はし(る),run,N4
595,販,hanハン,,"marketing, sell, trade",N2
596,園,enエン,sonoその,"park, garden, yard",N3
597,具,guグ,"sona(eru), tsubasa(ni)そな(える)、つぶさ(に)","tool, utensil",N3
598,左,"sa, shaサ、 シャ",hidariひだり,left,N5
599,歴,rekiレキ,,curriculum; continuation; passage of time,N2
600,辞,jiジ,ya(meru)や(める),"resign, word, term",N3
601,将,shouショウ,"masa(ni), hataまさ(に)、 はた",leader; commander; general; admiral,N2
602,秋,shuuシュウ,akiあき,"autumn, fall",N4
603,因,inイン,"yo(ru), china(mu)よ(る)、ちな(む)","cause, factor, depend on",N3
604,馬,baバ,umaうま,horse,N3
605,愛,aiアイ,"ito(shii), manaいと(しい)、まな","love, affection",N3
606,幅,fukuフク,habaはば,hanging scroll; width,N2
607,休,kyuuキュウ,yasu(mu)やす(む),"rest, day off, retire, sleep",N5
608,富,"fu, fuuフ、フウ","to(mu), tomiと(む)、 とみ","wealth, enrich, abundant",N3
609,父,fuフ,"chichi, touちち、 とう",father,N5
610,,,,,
611,彼,hiヒ,"kare, kanoかれ、 かの","he, him",N3
612,般,hanハン,,carrier; carry; all; general; sort; kind,N2
613,未,"mi, biミ、ビ","ima(da), ma(da)いま(だ)、ま(だ)","un-, not yet",N3
614,,,,,
615,貿,bouボウ,,trade; exchange,N2
616,講,kouコウ,,lecture; club; association,N2
617,舞,buブ,"ma(u), maiま(う)、まい","dance, circle",N3
618,林,rinリン,hayashiはやし,grove; forest,N2
619,装,"sou, shouソウ、 ショウ",yosoo(u)よそお(う),attire; dress; pretend; disguise,N2
620,諸,shoショ,moroもろ,various; many; several; together,N2
621,夏,"ka, geカ、 ゲ",natsuなつ,summer,N4
622,亡,"bou, mouボウ、モウ",na(kunaru)な(くなる),"deceased, dying",N3
623,劇,gekiゲキ,,drama; play,N2
624,河,kaカ,kawaかわ,river,N2
625,航,kouコウ,,navigate; sail; cruise; fly,N2
626,冷,reiレイ,"tsume(tai), hi(eru), sa(meru)つめ(たい)、ひ(える)、さ(める)","cool, cold, chill",N3
627,適,tekiテキ,kana(u)かな(う),"suitable, occasional, rare",N3
628,婦,fuフ,yomeよめ,"lady, woman, wife",N3
629,鉄,tetsuテツ,kuroganeくろがね,iron,N2
630,寄,kiキ,yo(ru)よ(る),"draw near, gather",N3
631,益,"eki, yakuエキ、ヤク",ma(su)ま(す),"benefit, gain, profit, advantage",N1
632,込,,ko(mu)こ(む),"crowded, mixture",N3
633,顔,ganガン,kaoかお,"face, expression",N3
634,類,ruiルイ,tagu(i)たぐ(い),"sort, kind, variety, class, genus",N3
635,児,jiジ,koこ,newborn babe; child,N2
636,余,yoヨ,ama(ru)あま(る),"too much, surplus",N3
637,禁,kinキン,,prohibition; ban; forbid,N2
638,印,inイン,shirushiしるし,stamp; seal; mark; symbol; trademark,N2
639,逆,gyakuギャク,saka(rau)さか(らう),inverted; reverse; opposite,N2
640,王,ouオウ,,"king, rule",N3
641,久,"kyuu, kuキュウ、 ク",hisa(shii)ひさ(しい),long time; old story,N2
642,短,tanタン,mijika(i)みじか(い),short; fault; defect; weak point,N2
643,,,,,
644,油,yuユ,aburaあぶら,oil; fat,N2
645,妻,saiサイ,tsumaつま,"wife, spouse",N3
646,暴,"bou, bakuボウ、 バク",aba(ku)あば(く),outburst; force; violence,N2
647,輪,rinリン,waわ,wheel; ring; circle; link; loop; counter for wheels and flowers,N2
648,占,senセン,"shi(meru), urana(u)し(める)、 うらな(う)",fortune-telling; divining; forecasting,N2
649,背,haiハイ,"se, seiせ、せい","stature, height, back",N3
650,植,shokuショク,u(eru)う(える),plant,N2
651,熱,netsuネツ,atsu(i)あつ(い),"heat, fever, passion",N3
652,宿,shukuシュク,yadoやど,"inn, lodging",N3
653,薬,yakuヤク,kusuriくすり,"medicine, chemical",N3
654,清,seiセイ,kiyo(i)きよ(い),pure; purify; cleanse,N2
655,習,shuuシュウ,nara(u)なら(う),learn,N4
656,険,kenケン,kewa(shii)けわ(しい),"precipitous, inaccessible place",N3
657,頼,raiライ,"tano(mu), tayo(ru)たの(む)、 たよ(る)","trust, request",N3
658,覚,kakuカク,"obo(eru), sa(masu)おぼ(える)、 さ(ます)","memorize, learn, remember, awake",N3
659,船,senセン,"fune, funaふね、ふな","ship, boat",N3
660,倍,baiバイ,,double; twice; times; fold,N2
661,均,kinキン,nara(su)なら(す),level; average,N2
662,億,okuオク,,hundred million; 10**8,N2
663,途,toト,michiみち,"route, way, road",N3
664,,,,,
665,圧,atsuアツ,o(su)お(す),pressure; push; overwhelm; oppress,N2
666,芸,geiゲイ,,technique; art; craft; performance; acting,N2
667,許,kyoキョ,yuru(su)ゆる(す),"permit, approve",N3
668,駅,ekiエキ,,station,N4
670,抜,batsuバツ,nu(ku)ぬ(く),"slip out, extract, pull out, remove",N3
671,便,"ben, binベン、 ビン",tayo(ri)たよ(り),"convenience, facility",N3
672,伸,shinシン,no(biru)の(びる),expand; stretch; extend,N2
673,留,"ryuu, ruリュウ、 ル","to(maru), todo(meru)と(まる)、 とど(める)","detain, fasten, halt, stop",N3
674,罪,zaiザイ,tsumiつみ,"guilt, sin, crime",N3
675,,,,,
676,停,teiテイ,to(meru)と(める),halt; stopping,N2
677,爆,bakuバク,ha(zeru)は(ぜる),bomb; burst open,N2
678,陸,"riku, rokuリク、 ロク",okaおか,land; six,N2
679,玉,gyokuギョク,tamaたま,jewel; ball,N2
680,波,haハ,namiなみ,waves; billows,N2
681,帯,taiタイ,o(biru)お(びる),sash; belt; obi; zone; region,N2
682,延,enエン,no(biru)の(びる),prolong; stretching,N2
683,羽,uウ,"ha, wa, haneは、 わ、 はね","feathers; counter for birds, rabbits",N2
684,努,doド,tsuto(meru)つと(める),"toil, diligent, as much as possible",N3
685,固,koコ,kata(meru)かた(める),harden; set; clot; curdle,N2
686,精,"sei, shouセイ、ショウ",shira(geru)しら(げる),"refined, ghost, fairy, energy",N3
687,則,sokuソク,notto(ru)のっと(る),rule; follow; based on,N2
688,乱,ranラン,mida(reru)みだ(れる),riot; war; disorder; disturb,N2
689,普,fuフ,amane(ku)あまね(く),universal; generally,N2
690,散,sanサン,"chi(ru), bara(keru)ち(る)、ばら(ける)","scatter, disperse",N3
691,測,sokuソク,haka(ru)はか(る),fathom; plan; scheme; measure,N2
692,豊,"hou, buホウ、 ブ","yuta(ka), toyoゆた(か)、 とよ",bountiful; excellent; rich,N2
693,洋,youヨウ,,"ocean, sea, foreign, Western style",N4
694,静,"sei, jouセイ、ジョウ",shizu(ka)しず(か),quiet,N3
695,婚,konコン,,marriage,N3
696,厚,kouコウ,atsu(i)あつ(い),thick; heavy; rich,N2
697,喜,kiキ,yoroko(bu)よろこ(ぶ),"rejoice, take pleasure in",N3
698,齢,reiレイ,"yowai, toshiよわい、 とし",age,N2
699,囲,iイ,kako(mu)かこ(む),surround; enclosure; preserve; keep,N2
700,卒,sotsuソツ,so(ssuru)そっ(する),graduate; soldier; private; die,N2
701,略,ryakuリャク,hoboほぼ,abbreviation; omission; outline; shorten,N2
702,承,shouショウ,uketamawa(ru)うけたまわ(る),hear; listen to; be informed; receive,N2
703,浮,fuフ,u(kabu)う(かぶ),"float, rise to surface",N3
704,順,junジュン,,obey; order; turn; occasion,N2
705,旅,ryoリョ,tabiたび,"trip, travel",N4
706,,,,,
707,絶,zetsuゼツ,ta(eru)た(える),"discontinue, unparalleled",N3
708,幸,kouコウ,"saiwa(i), sara, shiawa(se)さいわ(い)、さち、 しあわ(せ)","happiness, blessing, fortune",N3
709,岩,ganガン,iwaいわ,boulder; rock; cliff,N2
710,練,renレン,ne(ru)ね(る),"practice, gloss, train, drill, polish, refine",N2
711,押,ouオウ,o(su)お(す),push,N3
712,軽,keiケイ,karu(i)かる(い),lightly; trifling; unimportant,N2
713,倒,touトウ,tao(reru)たお(れる),"overthrow, fall, collapse",N3
714,,,,,
715,了,ryouリョウ,,complete; finish,N2
716,庁,chouチョウ,yakushoやくしょ,government office,N2
717,博,"haku, bakuハク、バク",,"Dr., command, esteem, Ph.D.",N1
718,城,"jou, seiジョウ、 セイ",shiroしろ,castle,N2
719,患,kanカン,wazura(u)わずら(う),afflicted; disease; suffer from; be ill,N2
720,等,touトウ,"hito(shii), nadoひと(しい)、など","etc., and so forth",N3
721,層,souソウ,,stratum; social class; layer; story; floor,N2
722,版,hanハン,,printing block; edition; impression; label,N2
723,老,rouロウ,"o(iru), fu(keru)お(いる)、ふ(ける)",old,N3
724,令,reiレイ,,orders; command; decree,N2
725,角,kakuカク,"kado, tsunoかど、 つの",angle; corner; square,N2
726,絡,rakuラク,kara(mu)から(む),entwine; coil around; get caught in,N2
727,損,sonソン,soko(nau)そこ(なう),damage; loss; disadvantage; hurt; injure,N2
728,募,boボ,tsuno(ru)つの(る),recruit; campaign,N2
729,曲,kyokuキョク,ma(garu)ま(がる),"bend, music, melody",N3
730,裏,riリ,uraうら,back; reverse; inside; rear,N2
731,払,,hara(u)はら(う),pay,N3
732,庭,teiテイ,niwaにわ,"courtyard, garden, yard",N3
733,徒,toト,"itazura, adaいたずら、 あだ","on foot, junior, vanity, futility, uselessness",N3
734,仏,butsuブツ,hotokeほとけ,Buddha; the dead,N2
735,績,sekiセキ,,exploits; achievements,N2
736,築,chikuチク,kizu(ku)きず(く),fabricate; build; construct,N2
737,貨,kaカ,,freight; goods; property,N2
738,,,,,
739,混,konコン,ma(jiru)ま(じる),mix; blend; confuse,N2
740,昇,shouショウ,nobo(ru)のぼ(る),rise up,N2
741,池,chiチ,ikeいけ,pond; pool; reservoir,N2
742,勤,"kin, gonキン、ゴン",tsuto(meru)つと(める),"diligence, employed, serve",N3
743,血,ketsuケツ,chiち,blood,N2
744,遅,chiチ,"oku(reru), oso(i)おく(れる)、 おそ(い)","slow, late, back, later",N3
745,居,"kyo, koキョ、コ","i(ru), o(ru)い(る)、お(る)","reside, to be, exist",N3
746,温,onオン,"atata(kai), nukuあたた(かい)、ぬく",warm,N2
747,雑,"zatsu, zouザツ、ゾウ",maji(ru)まじ(る),miscellaneous,N3
748,招,shouショウ,mane(ku)まね(く),"invite, summon, engage",N3
750,困,konコン,koma(ru)こま(る),"quandary, become distressed",N3
751,星,seiセイ,hoshiほし,star,N2
752,永,eiエイ,naga(i)なが(い),eternity; long; lengthy,N2
753,著,"cho, chakuチョ、 チャク","arawa(su), ichijiru(shii)あらわ(す)、 いちじる(しい)",renowned; publish; write,N2
754,誌,shiシ,,document; records,N2
755,庫,"ko, kuコ、 ク",kuraくら,warehouse; storehouse,N2
756,刊,kanカン,,publish; carve; engrave,N2
757,像,zouゾウ,,statue; picture; image; figure,N2
758,香,"kou, kyouコウ、 キョウ",kao(ri)かお(り),incense; smell; perfume,N2
759,欠,"ketsu, kenケツ、ケン",ka(keru)か(ける),"lack, gap",N3
760,更,kouコウ,"sara(ni), fu(keru)さら(に)、ふ(ける)","renew, renovate, again",N3
761,坂,hanハン,sakaさか,slope; incline; hill,N2
762,刻,kokuコク,kiza(mu)きざ(む),"engrave, cut fine, chop",N3
763,底,teiテイ,sokoそこ,bottom; sole; depth; bottom price,N2
764,賛,sanサン,,"approve, praise",N3
765,抱,houホウ,"da(ku), ida(ku), kaka(eru)だ(く)、いだ(く)、かか(える)","embrace, hug",N3
766,服,fukuフク,,"clothing, admit, obey",N4
767,犯,hanハン,oka(su)おか(す),"crime, sin, offense",N3
768,布,fuフ,"nuno, shi(ku)ぬの、 し(く)",linen; cloth; spread; distribute,N2
769,,,,,
770,,,,,
771,恐,kyouキョウ,"oso(reru), kowa(i)おそ(れる)、こわ(い)","fear, dread",N3
772,寺,jiジ,teraてら,Buddhist temple,N2
773,息,"musu, sokuムス、ソク",ikiいき,"breath, son, interest (on money)",N3
774,宇,uウ,,eaves; roof; house; heaven,N2
775,遠,"en, onエン",too(i)とお(い),"distant, far",N3
776,戻,reiレイ,modo(ru)もど(る),"re-, return, revert",N3
777,巨,kyoキョ,,gigantic; big; large; great,N2
778,震,shinシン,furu(u)ふる(う),quake; shake; tremble; quiver,N2
779,願,ganガン,nega(u)ねが(う),"petition, request, wish",N3
780,絵,"kai, eカイ、エ",,"picture, drawing",N3
781,希,kiキ,"mare, koinega(u)まれ、 こいねが(う)",hope; beg; request; pray,N2
782,越,etsuエツ,ko(su)こ(す),"surpass, cross over, move to, exceed",N3
783,欲,yokuヨク,ho(shii)ほ(しい),"longing, greed, passion",N3
784,痛,tsuuツウ,ita(i)いた(い),"pain, hurt, damage, bruise",N3
785,触,shokuショク,"fu(reru), sawa(ru)ふ(れる)、 さわ(る)",contact; touch; feel; hit; proclaim; announce,N2
786,籍,sekiセキ,,enroll; register; membership,N2
